mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,192,0.591145,0.563285
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,336,0.627591,0.580446
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,720,0.646944,0.592819
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,96,0.671612,0.615110
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,192,0.686095,0.622574
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,336,0.735112,0.641275
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,720,0.787637,0.670096
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,96,0.457883,0.518619
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,192,0.488057,0.535361
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,336,0.510441,0.547377
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,720,0.544656,0.566974
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,96,0.588258,0.520941
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,192,0.623674,0.538329
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,336,0.654268,0.554905
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,720,0.691284,0.581144
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,96,0.637396,0.552100
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,192,0.664523,0.569580
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,336,0.698696,0.590253
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,720,0.745574,0.615130
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,96,0.598281,0.594512
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,192,0.617577,0.605717
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,336,0.633932,0.614684
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,720,0.654008,0.626456
forecasting_electricity_laya_mixer_stats,ETTm1,96,0.625541,0.605009
forecasting_electricity_laya_mixer_stats,ETTm1,192,0.669225,0.623089
forecasting_electricity_laya_mixer_stats,ETTm1,336,0.706576,0.640736
forecasting_electricity_laya_mixer_stats,ETTm1,720,0.763319,0.669282
