mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,336,0.6198,0.5752
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm1,720,0.6381,0.5860
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,96,0.6610,0.6105
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,192,0.6539,0.6069
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,336,0.7415,0.6478
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,ETTm2,720,0.7898,0.6686
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,96,0.4759,0.5399
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,192,0.5473,0.5842
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,336,0.5596,0.5872
forecasting_electricity_laya_metadata_query_gate_text_stats_avg,weather,720,0.5906,0.6028
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,96,0.5414,0.5278
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,192,0.5873,0.5510
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,336,0.6166,0.5645
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm1,720,0.6488,0.5840
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,96,0.7829,0.6607
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,192,0.7903,0.6632
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,336,0.8214,0.6737
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,ETTm2,720,0.8442,0.6831
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,96,0.4832,0.5466
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,192,0.5284,0.5728
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,336,0.5720,0.5945
forecasting_electricity_laya_metadata_query_gate_text_stats_joint,weather,720,0.5879,0.6017
forecasting_electricity_laya_mixer_concat_stats,ETTm1,96,0.9091,0.6866
forecasting_electricity_laya_mixer_concat_stats,ETTm1,192,0.9228,0.6921
forecasting_electricity_laya_mixer_concat_stats,ETTm1,336,0.9361,0.6992
