mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,96,0.637,0.552
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,192,0.665,0.570
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,336,0.699,0.590
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,720,0.746,0.615
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,96,0.598,0.595
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,192,0.618,0.606
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,336,0.634,0.615
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,720,0.654,0.626
forecasting_electricity_laya_mixer_stats,ETTm1,96,0.626,0.605
forecasting_electricity_laya_mixer_stats,ETTm1,192,0.669,0.623
forecasting_electricity_laya_mixer_stats,ETTm1,336,0.707,0.641
forecasting_electricity_laya_mixer_stats,ETTm1,720,0.763,0.669
forecasting_electricity_laya_mixer_stats,ETTm2,96,0.908,0.714
forecasting_electricity_laya_mixer_stats,ETTm2,192,0.930,0.723
forecasting_electricity_laya_mixer_stats,ETTm2,336,0.978,0.746
forecasting_electricity_laya_mixer_stats,ETTm2,720,0.984,0.756
forecasting_electricity_laya_mixer_stats,weather,96,0.506,0.547
forecasting_electricity_laya_mixer_stats,weather,192,0.533,0.560
forecasting_electricity_laya_mixer_stats,weather,336,0.556,0.570
forecasting_electricity_laya_mixer_stats,weather,720,0.607,0.600
forecasting_electricity_laya_mixer_text,ETTm1,96,0.489,0.511
forecasting_electricity_laya_mixer_text,ETTm1,192,0.537,0.535
forecasting_electricity_laya_mixer_text,ETTm1,336,0.583,0.559
forecasting_electricity_laya_mixer_text,ETTm1,720,0.619,0.580
forecasting_electricity_laya_mixer_text,ETTm2,96,0.581,0.584
forecasting_electricity_laya_mixer_text,ETTm2,192,0.598,0.588
forecasting_electricity_laya_mixer_text,ETTm2,336,0.617,0.598
forecasting_electricity_laya_mixer_text,ETTm2,720,0.683,0.633
forecasting_electricity_laya_mixer_text,weather,96,0.512,0.547
forecasting_electricity_laya_mixer_text,weather,192,0.547,0.566
forecasting_electricity_laya_mixer_text,weather,336,0.569,0.573
forecasting_electricity_laya_mixer_text,weather,720,0.612,0.597
