mode,dataset,accuracy,f1_macro
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG5000,0.8898,0.4197
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordA,0.8000,0.7994
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordB,0.6148,0.6026
classification_electricity_laya_mixer_concat_stats,EthanolConcentration,0.2738,0.1794
classification_electricity_laya_mixer_concat_stats,FaceDetection,0.5037,0.4321
classification_electricity_laya_mixer_concat_stats,Handwriting,0.0282,0.0034
classification_electricity_laya_mixer_concat_stats,Heartbeat,0.7220,0.4193
classification_electricity_laya_mixer_concat_stats,JapaneseVowels,0.3676,0.3774
classification_electricity_laya_mixer_concat_stats,PEMS-SF,0.2023,0.1763
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP1,0.7816,0.7753
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP2,0.5000,0.3430
classification_electricity_laya_mixer_concat_stats,SpokenArabicDigits,0.2456,0.2148
classification_electricity_laya_mixer_concat_stats,UWaveGestureLibrary,0.1250,0.0289
classification_electricity_laya_mixer_concat_stats,ECG200,0.6300,0.4107
classification_electricity_laya_mixer_concat_stats,ECG5000,0.8609,0.3518
classification_electricity_laya_mixer_concat_stats,FordA,0.7121,0.7121
classification_electricity_laya_mixer_concat_stats,FordB,0.5716,0.5139
classification_electricity_laya_mixer_concat_text,EthanolConcentration,0.2814,0.1852
classification_electricity_laya_mixer_concat_text,FaceDetection,0.5068,0.4438
classification_electricity_laya_mixer_concat_text,Handwriting,0.0376,0.0028
classification_electricity_laya_mixer_concat_text,Heartbeat,0.7220,0.4193
classification_electricity_laya_mixer_concat_text,JapaneseVowels,0.4432,0.4210
classification_electricity_laya_mixer_concat_text,PEMS-SF,0.1618,0.1060
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP1,0.7474,0.7360
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP2,0.5000,0.3333
classification_electricity_laya_mixer_concat_text,SpokenArabicDigits,0.3142,0.2852
classification_electricity_laya_mixer_concat_text,UWaveGestureLibrary,0.1281,0.0340
classification_electricity_laya_mixer_concat_text,ECG200,0.6400,0.3902
classification_electricity_laya_mixer_concat_text,ECG5000,0.8127,0.3272
classification_electricity_laya_mixer_concat_text,FordA,0.6447,0.6435
classification_electricity_laya_mixer_concat_text,FordB,0.5469,0.5253
classification_electricity_laya_mixer_concat_text_stats_avg,EthanolConcentration,0.2966,0.1908
classification_electricity_laya_mixer_concat_text_stats_avg,FaceDetection,0.4960,0.3708
classification_electricity_laya_mixer_concat_text_stats_avg,Handwriting,0.0388,0.0083
classification_electricity_laya_mixer_concat_text_stats_avg,Heartbeat,0.7220,0.5443
classification_electricity_laya_mixer_concat_text_stats_avg,JapaneseVowels,0.2649,0.2415
classification_electricity_laya_mixer_concat_text_stats_avg,PEMS-SF,0.2139,0.1675
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP1,0.7235,0.7058
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP2,0.5056,0.3948
classification_electricity_laya_mixer_concat_text_stats_avg,SpokenArabicDigits,0.2365,0.1966
classification_electricity_laya_mixer_concat_text_stats_avg,UWaveGestureLibrary,0.3063,0.2448
classification_electricity_laya_mixer_concat_text_stats_avg,ECG200,0.6400,0.3902
classification_electricity_laya_mixer_concat_text_stats_avg,ECG5000,0.8564,0.3501
classification_electricity_laya_mixer_concat_text_stats_avg,FordA,0.6727,0.6717
classification_electricity_laya_mixer_concat_text_stats_avg,FordB,0.5691,0.5660
classification_electricity_laya_mixer_concat_text_stats_joint,EthanolConcentration,0.2700,0.1766
classification_electricity_laya_mixer_concat_text_stats_joint,FaceDetection,0.5292,0.5082
classification_electricity_laya_mixer_concat_text_stats_joint,Handwriting,0.0612,0.0099
classification_electricity_laya_mixer_concat_text_stats_joint,Heartbeat,0.7366,0.5240
classification_electricity_laya_mixer_concat_text_stats_joint,JapaneseVowels,0.3459,0.3116
classification_electricity_laya_mixer_concat_text_stats_joint,PEMS-SF,0.3410,0.2960
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP1,0.7747,0.7665
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP2,0.5056,0.3637
classification_electricity_laya_mixer_concat_text_stats_joint,SpokenArabicDigits,0.3856,0.3660
classification_electricity_laya_mixer_concat_text_stats_joint,UWaveGestureLibrary,0.2375,0.1296
classification_electricity_laya_mixer_concat_text_stats_joint,ECG200,0.6400,0.3902
