mode,dataset,accuracy,f1_macro
classification_electricity_laya_metadata_query_gate_text_stats_joint,JapaneseVowels,0.405405,0.402772
classification_electricity_laya_metadata_query_gate_text_stats_joint,PEMS-SF,0.312139,0.306720
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP1,0.781570,0.773592
classification_electricity_laya_metadata_query_gate_text_stats_joint,SelfRegulationSCP2,0.527778,0.493226
classification_electricity_laya_metadata_query_gate_text_stats_joint,SpokenArabicDigits,0.266030,0.235611
classification_electricity_laya_metadata_query_gate_text_stats_joint,UWaveGestureLibrary,0.437500,0.432016
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG200,0.800000,0.770221
classification_electricity_laya_metadata_query_gate_text_stats_joint,ECG5000,0.889778,0.419651
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordA,0.800000,0.799369
classification_electricity_laya_metadata_query_gate_text_stats_joint,FordB,0.614815,0.602602
classification_electricity_laya_mixer_concat_stats,EthanolConcentration,0.273764,0.179421
classification_electricity_laya_mixer_concat_stats,FaceDetection,0.503689,0.432125
classification_electricity_laya_mixer_concat_stats,Handwriting,0.028235,0.003379
classification_electricity_laya_mixer_concat_stats,Heartbeat,0.721951,0.419263
classification_electricity_laya_mixer_concat_stats,JapaneseVowels,0.367568,0.377397
classification_electricity_laya_mixer_concat_stats,PEMS-SF,0.202312,0.176321
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP1,0.781570,0.775285
classification_electricity_laya_mixer_concat_stats,SelfRegulationSCP2,0.500000,0.342959
classification_electricity_laya_mixer_concat_stats,SpokenArabicDigits,0.245566,0.214773
classification_electricity_laya_mixer_concat_stats,UWaveGestureLibrary,0.125000,0.028902
classification_electricity_laya_mixer_concat_stats,ECG200,0.630000,0.410734
classification_electricity_laya_mixer_concat_stats,ECG5000,0.860889,0.351826
classification_electricity_laya_mixer_concat_stats,FordA,0.712121,0.712089
classification_electricity_laya_mixer_concat_stats,FordB,0.571605,0.513938
classification_electricity_laya_mixer_concat_text,EthanolConcentration,0.281369,0.185173
classification_electricity_laya_mixer_concat_text,FaceDetection,0.506810,0.443814
classification_electricity_laya_mixer_concat_text,Handwriting,0.037647,0.002791
classification_electricity_laya_mixer_concat_text,Heartbeat,0.721951,0.419263
classification_electricity_laya_mixer_concat_text,JapaneseVowels,0.443243,0.420984
classification_electricity_laya_mixer_concat_text,PEMS-SF,0.161850,0.105968
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP1,0.747440,0.735997
classification_electricity_laya_mixer_concat_text,SelfRegulationSCP2,0.500000,0.333333
classification_electricity_laya_mixer_concat_text,SpokenArabicDigits,0.314234,0.285208
classification_electricity_laya_mixer_concat_text,UWaveGestureLibrary,0.128125,0.033953
classification_electricity_laya_mixer_concat_text,ECG200,0.640000,0.390244
classification_electricity_laya_mixer_concat_text,ECG5000,0.812667,0.327176
classification_electricity_laya_mixer_concat_text,FordA,0.644697,0.643546
classification_electricity_laya_mixer_concat_text,FordB,0.546914,0.525257
classification_electricity_laya_mixer_concat_text_stats_avg,EthanolConcentration,0.296578,0.190791
classification_electricity_laya_mixer_concat_text_stats_avg,FaceDetection,0.496027,0.370828
